Tanggal,Aktual_kWh,Prediksi_LSTM,Prediksi_GRU
2023-09-01,220551483.0,216076660.0,212534050.0
2023-10-01,214306251.0,210901520.0,212497540.0
2023-11-01,208001177.0,199344670.0,210683600.0
2023-12-01,190195282.0,193138770.0,208283870.0
2024-01-01,183793574.0,189763170.0,202029600.0
2024-02-01,181915624.0,189627600.0,196778800.0
2024-03-01,178516104.0,199499940.0,193487300.0
2024-04-01,185582844.0,203737860.0,190449920.0
2024-05-01,198288412.0,209933660.0,190363790.0
2024-06-01,193975757.0,214790960.0,193556820.0
2024-07-01,205425976.0,219075490.0,194148930.0
2024-08-01,194979348.0,221246750.0,197117600.0
