Tanggal,Prediksi_LSTM_kWh,Prediksi_GRU_kWh
2024-09-01,219476135.5782051,196026412.62732697
2024-10-01,215427285.5592419,202007548.46479315
2024-11-01,206383709.14459658,204969566.0270636
2024-12-01,192216875.99019033,203933610.9294955
2025-01-01,187137722.74846697,199390085.54874635
2025-02-01,187363981.24321395,195572212.6584143
2025-03-01,191177387.16013563,193716893.00148904
2025-04-01,198665722.81825757,193838261.507917
2025-05-01,204683171.16492587,195933287.76615918
2025-06-01,207438711.7942772,198712757.11222988
2025-07-01,211881237.4381985,201020782.50400448
