Tanggal,Aktual_kWh,Pred_LSTM_kWh,Pred_GRU_kWh
2020-01-01,131745086.0,144003790.0,139929360.0
2020-02-01,124094507.0,130074710.0,130139096.0
2020-03-01,129034324.99999999,130171160.0,127538440.0
2020-04-01,124385111.0,130467920.0,129634340.0
2020-05-01,127778691.99999999,132522500.0,129918860.0
2020-06-01,122666284.0,127424060.0,130979820.0
2020-07-01,125770502.0,131916190.0,130509930.0
2020-08-01,130016162.0,134924270.0,131577000.0
2020-09-01,134378262.0,139423170.0,134094700.0
2020-10-01,140827052.0,143360080.0,136523460.0
2020-11-01,138157744.0,138817090.0,137972370.0
2020-12-01,125931431.99999999,133686760.0,135347550.0
2021-01-01,125436649.99999999,129857730.0,126948184.0
2021-02-01,121039538.1,125316530.0,125344136.0
2021-03-01,129474661.0,130490410.0,124861980.0
2021-04-01,126336783.0,129794700.0,128126650.0
2021-05-01,135165167.0,135215860.0,129510264.0
2021-06-01,136540088.0,134517400.0,133588250.0
2021-07-01,129712124.0,131359980.0,136174850.0
2021-08-01,134018475.0,135899180.0,132980470.0
2021-09-01,134606529.0,137911570.0,133482750.0
2021-10-01,145028989.0,136571620.0,133577390.0
2021-11-01,135050794.0,133611944.0,137594430.0
2021-12-01,133383980.0,130952510.0,132843540.0
2022-01-01,127632868.0,130224070.0,131396060.0
2022-02-01,121039538.1,125239960.0,129876250.0
2022-03-01,136606796.0,133215890.0,129108590.0
2022-04-01,137783495.0,135407860.0,136185390.0
2022-05-01,141816812.0,141289000.0,140743380.0
2022-06-01,138573546.0,141059090.0,142451100.0
2022-07-01,141605778.0,139438850.0,139701840.0
2022-08-01,145096746.0,143296860.0,140735890.0
2022-09-01,145789852.0,144634580.0,142667310.0
2022-10-01,144407097.0,145795310.0,143241740.0
2022-11-01,138531745.0,137743250.0,141036100.0
2022-12-01,138144015.0,135096800.0,138087310.0
2023-01-01,133215648.0,133113350.0,138936180.0
2023-02-01,121039538.1,137752640.0,139028210.0
2023-03-01,141766432.0,149067680.0,136211100.0
2023-04-01,139044514.0,150346220.0,146800320.0
2023-05-01,156444778.0,151594800.0,148947790.0
2023-06-01,149776150.0,151889470.0,157420290.0
2023-07-01,149372859.0,153794160.0,152628340.0
2023-08-01,152394928.0,154762350.0,149536770.0
2023-09-01,152515824.0,154191140.0,150013870.0
2023-10-01,163381043.6,152026600.0,149488830.0
2023-11-01,160555402.0,148400060.0,156334910.0
2023-12-01,158579871.0,146238750.0,155069660.0
2024-01-01,145590719.0,141370770.0,154316770.0
2024-02-01,141912543.0,139803230.0,148307020.0
2024-03-01,159921463.0,153233540.0,150749390.0
2024-04-01,155599117.0,152711460.0,166306370.0
2024-05-01,163381043.6,155015040.0,165121940.0
2024-06-01,162330095.0,153028480.0,169263070.0
2024-07-01,160461104.0,151803600.0,167838690.0
2024-08-01,163381043.6,151518600.0,165978060.0
